artist,song,link,text
Grand Funk Railroad,All You've Got Is Money,/g/grand+funk+railroad/all+youve+got+is+money_20062155.html,"I can't tell ya' how to run your life,  
To get along with one another.  
Everybody knows what's wrong and what's right,  
But, you can't trust your own brother, yeah.  
  
Everybody wants to be your friend,  
All the chicks, they call you honey.  
But don't trust them 'till the very end,  
'cause all they're after is your money.  
  
All they want is all your money.  
All they're after is your money.  
... is your money.  
All they want is,  
All your money.  
All they want is ...  
  
Don't it scare ya',  
When they take such good care of ya',  
And all you've got is money?  
Before they fool ya',  
Please, let me school ya',  
All you've got is money.  
  
(various screams)  

"
Glee,An Innocent Man,/g/glee/an+innocent+man_21072632.html,"Some people stay far away from the door  
If there's a chance of it opening up  
They hear a voice in the hall outside  
And hope that it just passes by  
  
Some people live with the fear of a touch  
And the anger of having been a fool  
They will not listen to anyone  
So nobody tells them a lie  
  
I know you're only protecting yourself  
I know you're thinking of somebody else  
Someone who hurt you  
But I'm not above  
Making up for the love  
You've been denying you could ever feel  
I'm not above doing anything  
To restore your faith if I can  
Some people see through the eyes of the old  
Before they ever get a look at the young  
I'm only willing to hear you cry  
Because I am an innocent man  
I am an innocent man  
Oh yes I am  
  
Some people say they will never believe  
Another promise they hear in the dark  
Because they only remember too well  
They heard somebody tell them before  
  
Some people sleep all alone every night  
Instead of taking a lover to bed  
Some people find that it's easier to hate  
Than to wait anymore  
  
I know you don't want to hear what I say  
I know you're gonna keep turning away  
But I've been there and if I can survive  
I can keep you alive  
I'm not above going through it again  
  
And although this is a  
Fight I  
Can lose  
The accused is an  
Innocent  
Man  
I am an innocent man  
Oh yes I am  
I am an innocent man  
Oh yes I am  
An innocent man  
Oh....

"
Tears For Fears,Who Killed Tangerine,/t/tears+for+fears/who+killed+tangerine_10229404.html,"What ya gonna choose the poison or the lines  
Lived with crazy pain in all your life  
Something in your mind just tells you no  
Hope in conversation starts to flow  
  
Stuck inside a wheel, inside a wheel  
Wondering everyday is it all for real  
Blinking every time a cold wind blow  
Our love don't fill a mile in rose  
  
Danger remains  
Wat ya gonna do when the old man reads you dry  
Step down from the plane and pluck the eye  
Slide in deeper closer to the bone  
Don't you just wish your heart was made of stone?  
  
Waxing like an old crack 45  
Counting out the ways you could stay alive  
Placing all the banks and feel the stones  
My love won't leave her ways of foam  
  
And when you think it's all over  
It's not over, it's not over  
And when you think it's all over  
It's not over, it's not over  
And when you think it's all over  
It's not over, it's not over  
  
Who killed tangerine?  
The prettiest girl I've ever seen  
Who killed tangerine?  
  
Who killed tangerine?  
The prettiest girl I've ever seen  
Who killed tangerine?  
  
And when you think it's all over  
It's not over, it's not over  
And when you think it's all over  
It's not over, it's not over  
And when you think it's all over  
It's not over, it's not over

"
Weird Al Yankovic,Trash Day,/w/weird+al+yankovic/trash+day_10186630.html,"It's rotten, so rotten here  
So rotten, ah, oh!  
  
It was like, the last day before trash day (uh)  
My place was gettin' kinda nasty (uh)  
Even know the garbage I knew would reak (ya know)  
Thought that I could leave it for one more week  
Then I, I'm takin', birthday cake (oh) and chile and greasy old bacon  
Throw in all on top of the mess I've been makin'  
Wife so mad she start to shakin'  
Leaky bag and now the girl is gaggin'  
She's naggin', I need you to get that stuff of the kitchen floor (oh)  
Is that too much to ask you for (oh)  
But I see no reason why, I can't let a few more weeks go by (uh uh)  
And that garbage is piled up high, and buddy you should see the flies  
I said  
  
[Chorus]  
There something rotten here (say what)  
You better hold your nose (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh uh, oh  
Boy there's a lot in here (a lot)  
And everyday it grows (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh, make you  
Want to throw up  
  
Look at all this garbage that I keep generatin' (come on)  
I sit around all day and watch it biodegrating  
Bet there's a hundred house codes that I'm violatin'  
Even my dog passed out and need resusatatin'  
You won't believe it, take a whiff of that aroma  
Sure to put you in a coma  
It's so messy can't find my toenail clippers  
It's so bad the roaches wearin' slippers  
Worn, sweatly clothes, pile up in this joint  
Stand up by themselves at this point  
It's so filthy now baby I can't lie  
I wipe my feet before I go outside  
I wonder what crawled in here and died  
Ya know, walkin' around barefoot actin terrified  
But it gives me stuff to talk about with my friends, like  
Hey I think them rats gettin' big (oh)  
  
[Chorus]  
There something rotten here (say what)  
You better hold your nose (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh uh, oh  
Look what we got in here (now what)  
Let's watch it decompose (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh uh, make  
You want to throw up  
  
With a little bit a  
And a little bit a  
Make me want to throw up  
It makes you want to  
Just makes you want to  
Oh  
  
Some Lysol, some Comet, I got a mop and its got your name on it  
(What?) I'm just kiddin' dogonit  
(Oh) Unless your gonna do it  
Careful not to (ay) breathe the fumes  
The garbage piles are goin' all the way to the bathroom  
Turn in to toxic waste sometime this after noon  
Better get a Hazmat suit and a push broom  
Oh  
  
[Chorus]  
There something rotten here (say what)  
You better hold your nose (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh uh, oh  
Its kinda pot in here (tear pot)  
Bring out the fire hose (oh)  
(Hey you disgusting slob, you better take the trash out)uh uh uh uh, make  
You want to throw up  
  
With a little bit a  
And a little bit a  
Make me want to throw up  
Give a little bit a  
And a tiny bit a  
Make you want to throw up  
Mix a little bit a  
With a molecule of a  
Make me want to throw up  
It makes me want to  
Just makes me want to  
Oh!

"
Wet Wet Wet,Morning,/w/wet+wet+wet/morning_20146034.html,"It's the same old situation  
Same old faces, but a different town  
Nowhere to run and nowhere to hide  
I'm dancing with the shadows,  
In a cold moonlight.  
  
And I can't wait until the morning  
I can't wait another minute, hour day or night,  
I can't wait until the morning,  
You know it won't feel so cold.  
  
It's 5 am, and I just got into bed  
And the heart of the city is almost gone,  
And I know what is right  
And I know what is wrong  
I'm dancing with the shadows,  
In a cold moonlight.  
  
And I can't wait until the morning  
I can't wait another minute, hour day or night,  
I can't wait until the morning,  
You know it feels so cold.  
  
Sometimes in between my dreams at night,  
I walk alone I'm going underground.  
And in the distance I can hear a crowd.  
It makes me wonder what it's all about.  
All about  
All about  
  
It's the same old consolation,  
Different faces in the same old town,  
Nowhere to run to  
Nowhere to hide,  
They're dancing with the shadows,  
In a cold moonlight  
  
And I can't wait until the morning  
I can't wait another minute, hour day or night,  
I can't wait until the morning,  
You know it feels so cold

"
Kylie Minogue,Heart Beat Rock,/k/kylie+minogue/heart+beat+rock_20662604.html,"Lovers in the back seat  
Boys in the back street  
Girls in their tight wash  
Figure hugging blue jeans  
  
They're looking like they want  
To show out what they got  
Their feet are itching to dance  
Their bodies ready to rock  
  
I've been around the world  
But I'm not those other girls  
I'm feeling special do you like what you see?  
'Cause I got my best dress on  
Can I be your fantasy?  
  
[Chorus]  
'Cause I can make your heartbeat rock  
I can make your heartbeat rock  
I can make your heartbeat rock  
I can make your heartbeat rock  
I can make your heartbeat rock ooh, ooh  
Baby show me what you got  
Baby show me what you got  
I can make you so damn hot  
I can make you so damn hot  
'Cause I can make your heart beat  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
  
Ladies in the spotlight  
Boys are checking their tights  
Skirts out while their hips sway  
Bumping to the hot track  
People take a step back  
C'mon, c'mon, c'mon, c'mon  
  
[Chorus]  
  
Ooh, yeah, ooh, yeah  
  
I've been around the world  
But I'm not those other girls  
I'm feeling special do you like what you see?  
'Cause I got my best dress on  
Can I be your fantasy?  
  
[Chorus]  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
'Cause I can make your heart beat  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
'Cause I can make your heart beat  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah  
  
Ooh, yeah, ooh, yeah  
Ooh, yeah, ooh, yeah

"
Alice In Chains,Lab Monkey,/a/alice+in+chains/lab+monkey_21059524.html,"Anybody out there  
Anyone at all  
Can you finally hear this deep in  
Scratching through the wall  
Came far to find me  
Down the rabbit hole  
Watch me smiling back while chewing on my skull  
  
I know, won't forget  
Limped away from the wreck  
  
Is the monkey breathing  
Looking kinda sick  
Got a witty comment for me  
Have yourself a kick  
Does it make you feel good  
Are you full and strong  
Gonna end up in this cage and I hope your stay is long  
  
I know, won't forget  
Limped away from the wreck  
  
We'll never know what this is  
'til we take a look inside  
I'm sure we'll find what came before it dies  
  
We'll never know what this is  
'til we take a look inside  
I'm sure we'll find what came before  
  
Had enough, I don't need you to stick my hide  
Had enough, no more tears for me left to cry  
Had enough, I don't need you to blind my eyes  
Had enough, no more tears for me left to cry  
  
I know, won't forget  
Limped away from the wreck  
  
We'll never know what this is  
'til we take a look inside  
I'm sure we'll find what came before it dies  
  
We'll never know what this is  
'til we take a look inside  
I'm sure we'll find what came before  
  
Had enough, I don't need you to stick my hide  
Had enough, no more tears for me left to cry  
Had enough, I don't need you to blind my eyes  
Had enough, no more tears for me left to cry

"
Cliff Richard,Love's Salvation,/c/cliff+richard/loves+salvation_20032181.html,"I don't know how to play it,  
I don't know how to say it,  
But it's true,  
Oooooh I'm losing you.  
I only know that maybe,  
You and I have got to talk things trough,  
But baby before we do,  
I'm telling you.  
Chorus:  
You can go right on breaking my heart,  
I wouldn't care at all.  
You can go right on taking my love,  
I'll never close the door.  
And even thoughi know you don't  
Love me anymore,  
You can hurt me but you won't break down  
My love.  
I don't know what began it,  
It happens all the time,  
So I've been told,  
Love grows old and cold.  
Not for me the easy way,  
I love you then and now I love you still,  
And I guess I always will,  
Meanwhile....  
Repeat chorus  
Not for me the easy way,  
I don't want no trial seperation.  
I'd rather face the sleepless nights,  
Working on our love's salvation.  
Repeat chorus  
Love's salvation,  
(you've got to keep working on)  
Our love's salvation,  
(you've got to keep working on)  
Repeat 'til fade.........  

"
Xscape,Is My Living In Vain?,/x/xscape/is+my+living+in+vain_20147637.html,"Is my living in vain?  
Is my giving in vain?  
Is my singing in vain?  
Is my praying in vain?  
  
No, of course not.  
  
It's not all in vain,  
Because up the road is eternal gain.  
  
Am I wasting my time?  
Can the clock be rewind?  
Have I let my light shine?  
Have I made ninety nine?  
  
No, of course not.  
No, of course not.  
No, of course not.  
No, of course not.  
  
It's not all in vain,  
Because up the road is eternal gain.  
  
No, of course not.  
No, of course not.  
No, of course not.  
No, of course not.  
  
It's not all in vain,  
Because up the road is eternal gain.

"
Leann Rimes,Love Is An Army,/l/leann+rimes/love+is+an+army_20081798.html,"Fear is an army  
Fighting against me  
Fighting a lost cause  
If I could only change their uniform  
They'd be soldiers of love  
Marching on and on  
  
Love is an army  
Waiting for me  
Waiting for this girl  
If I could only stretch my arms around you  
I'd suddenly see  
There ain't nothin' wrong with me  
Hear  
  
[Chorus]  
Words fly out  
The roof of my mouth  
They found a flaw  
In my armor  
Heart so still  
Your beating will  
Heal the wars I remembr,  
remember  
  
Blue is the ocean  
Calling me in  
Calling me near  
If I could learn  
To breathe down here  
I know I would be  
At home under the sea  
Yeah  
  
[Chorus]  
  
I'll bend my sword  
Against the world  
I'll push on through  
In spite of you  
  
Love is an army  
Waiting for me  
Waiting for this girl

"
Yeah Yeah Yeahs,Deja Vu,/y/yeah+yeah+yeahs/deja+vu_20532032.html,"Well, black out, well, no time  
The skin of the city is pulling real tight  
Around the big head of the hot rind  
The skin of the city is blushing at the sight  
Of her, of her, of her, of her  
It's deja vu  
You got your big teeth with your big bite  
You're ripping off the wrong tag shaking off the right  
Can you sink ships with your pink thighs?  
The skin of the city is shaking at the sight  
Of her, of her, of her, of her  
It's deja vu  
Well, here it is again  
Can you make it to the end of the deja vu?  
Well, here it comes again  
Can you make it to the end  
Of her, of her, of her, of her, of her?  
The way you look  
Five beats slow  
I'm wiggling  
The way you look  
Five beats slow  
I'm wiggling  
The way you look  
Five beats slow  
I'm wiggling  
Well, here it comes again  
Can you make it to the end of the deja vu?  
Well, here it is again  
Can you make it to the end of the deja vu?  
Well, here it comes again  
Can you make it to the end  
Of her, of her, of her, of her, of her?  

"
George Strait,Heartbroke,/g/george+strait/heartbroke_20059608.html,"Now who wouldn't notice the fire in your eyes  
Or the bitter direction of impending good-byes  
I've followed and folded, i'm wilted in place  
At the sight of you standing with streaks down your face  
  
With your heart broke and running from the reason  
You got your heart broke, don't give up on believing in me  
Heart broke, who kept me from leaving?  
With my heart broke  
  
Now pride is a drag and a bore when you're lonely  
Sheer madness prevails upon reason to you  
But all is not lost, it's only mistaken  
That's small consolation but i know just how you feel  
  
With your heart broke and running from the reason  
You got your heart broke, don't give up on believing in me  
Heart broke , who kept me from leaving?  
With my heart broke  
  
Nobody said it was going to be easy  
We all have feelings that need a softer touch  
But nobody said that it would not be worth it  
The human condition continues as such  
  
With your heart broke and running from the reason  
You've got your heart broke, don't give up on believing in me  
Heart broke, who kept me from leaving?  
With my heart broke, youove got me heart broke

"
Perry Como,Just One Way To Say I Love You,/p/perry+como/just+one+way+to+say+i+love+you_20226432.html,"I love you, I love you, there's no other way  
Just one way to say ""I love you""  
I love you, I love you, and, try as I may  
That's all I can say - ""I love you""  
  
Much more could be said if I thought with my head  
But I only can think with my heart  
I love you, I love you, and yearn for the day  
The day when you'll say ""I love you""  
  
There's no other way  
Just one way to say ""I love you""  
  
And, try as I may  
That's all I can say - ""I love you""  
  
Much more could be said if I thought with my head  
But I only can think with my heart  
I love you, I love you, and yearn for the day  
The day when you'll say ""I love you""

"
Johnny Cash,Everybody's Trying To Be My Baby,/j/johnny+cash/everybodys+trying+to+be+my+baby_20335940.html,"Well they took a little honey from a honey tree  
They dressed it up and they called at me  
Now everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby, now  
Well half past nine and half past four  
Fifty women knocking on my door  
And everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby, now  
I went out last night, I didn't stay late  
'Fore I got home I had nineteen dates  
And everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby, now  
Me and my girl, sittin' in the shade  
Talking about the money that she has made  
And everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby, now  
Get down  
Everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby  
Everybody's trying to be my baby, now  

"
Nazareth,Sweet Little Rock And Roller,/n/nazareth/sweet+little+rock+roller_20098649.html,"By: Chuck Berry as done by Nazareth  
Nineteeen years old and as sweet as she can be  
Dressed up like a downtown Christmas tree  
Dancin' and hummin' a rock-roll melody  
She's the daughter of a well-respected man  
Who taught her how to judge and understand  
Soon she became a rock-roll music fan  
Sweet little rock and roller, sweet little rock and roller  
Papa don't have to scold her, says he can't hardly hold her  
She never gets any older, sweet little rock and roller  
Should've seen her eyes when the band began to play  
Famous singers sang and barred away  
Stars performed, she screamed and yelled ""Hooray!""  
Ten thousand eyes were watching her leave the floor  
Five thousand tongues were screaming out ""More! More!""  
About fifteen hundred waitin' outside the door  
Sweet little rock and roller  
Sweet little rock and roller  
Papa don't have to scold her, says he can't hardly hold her  
She never gets any older, sweet little rock and roller  
Sweet little rock and roller  
Sweet little rock and roller  
Sweet little rock and roller  
Sweet little rock and roller  
Sweet little rock and roller

"
Doris Day,I Had The Craziest Dream,/d/doris+day/i+had+the+craziest+dream_20823969.html,"In a dream the strangest and the oddest things appear  
And what insane and silly things we do  
Here is what I see before me, vividly and clear  
As I recall it, you were in it, too  
  
I had the craziest dream last night, yes I did  
I never dreamt it could be  
Yet there you were, in love with me  
I found your lips close to mine so I kissed you  
And you didn't mind it at all  
When I'm awake such a break never happens  
How long can a gal go on dreaming?  
  
If there's a chance that you care  
Then, please, say you do, Baby  
Say it and make my craziest dream come true

"
The Beatles,All My Loving,/b/beatles/all+my+loving_10026648.html,"Close your eyes and I'll kiss you  
Tomorrow I'll miss you  
Remember I'll always be true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
I'll pretend that I'm kissing  
The lips I am missing  
And hope that my dreams will come true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
All my loving, I will send to you  
All my loving, darling I'll be true  
  
Close your eyes and I'll kiss you  
Tomorrow I'll miss you  
Remember I'll always be true  
And then while I'm away  
I'll write home every day  
And I'll send all my loving to you  
  
All my loving, I will send to you  
All my loving, darling I'll be true  
All my loving, all my loving  
Woo, all my loving, I will send to you

"
Dolly Parton,Comes And Goes,/d/dolly+parton/comes+and+goes_20728309.html,"(Porter Wagoner)  
Now and then, here and there, I still see you  
And sometimes my memory lets me hear your voice, so soft and low  
But like the wind you travel in, you seem to come and go  
At times, my mind is crystal clear  
And then I think of you  
Then the spin of the room I'm in  
Brings you into view  
Love that once  
Held my mind completely in control  
Now makes it spin like tornado wind  
As it comes and goes  
Well, look who's here  
I told myself that you'd be coming soon  
I hope that you can stay for a little while  
It's so lonesome in this room  
And you look just the same today  
Do you still love me so?  
What's that you say, you can't stay?  
You seem to come and go  
At times my mind is crystal clear  
And then I think of you  
Then the spin of the room I'm in  
Brings you into view  
Love that once  
Held my mind completely in control  
Now makes it spin like tornado winds  
As it comes and goes  

"
Natalie Grant,Burn Bright,/n/natalie+grant/burn+bright_21070181.html,"Lately I don't recognize you  
The fire in your eyes is fading into embers  
So while you're out there in the darkness  
I'm praying you'll remember  
  
You were made to shine  
You were made for life  
Even if you've lost your way  
Turn and you will hear love say  
You were made for more  
So much more  
Child of everlasting light  
Made to blaze away the night  
So baby, burn bright  
Burn bright  
  
You can rise up from the ashes  
Make something beautiful  
Of all the broken pieces  
And I'm believing you'll come running  
Into the arms of Jesus  
  
You were made to shine  
You were made for life  
Even if you've lost your way  
Turn and you will hear love say  
You were made for more  
So much more  
Child of everlasting light  
Made to blaze away the night  
So baby, burn bright  
Burn bright  
  
There will always be somebody in the dark  
Ready to rain down on your last spark  
Trying to blow out your flame again  
They will do it if you let them  
Oh, so don't you let them  
  
You were made to shine  
You were made for life  
Even if you've lost your way  
Turn and you will hear love say  
You were made for more  
So much more  
Child of everlasting light  
Made to blaze away the night  
So baby, burn bright  
Burn bright  
  
Yeah  
Burn bright  
Yeah  
Burn bright  
  
I'm believing you'll come running  
Into the arms of Jesus

"
Carly Simon,James,/c/carly+simon/james_20027269.html,"James,  
Your voice is like the water  
When I lift this shell to my ear  
I can hear you pourin' out your heart to me  
James,  
The beauty of your voice  
Lifts us from sadness  
James,  
Let us become like water together  
Sing to me  
Sit on the edge of my bed as when we  
First spent nights together  
Your body wrapped around your guitar  
Let the music speak for your heart  
Let them combine like water and sand  
Let them meet the air like drops of rain  
And bring us together, once again

"
Vengaboys,Ho Ho Vengaboys!,/v/vengaboys/ho+ho+vengaboys_20143967.html,"Ho ho vengaboys  
  
Vengaboys  
Ho ho vengaboys  
Okayparty people are you ready?  
Cause I am! here we go!  
Wow!  
Yes, come on now  
  
If you wanna feel like me too,  
Open up your heart and be true,  
This is the way to be free,  
So come with us and you'll see,  
The party's pumpin' tonight,  
Cause the vengaboys do allright,  
If you really want us to stay,  
Then let me hear you say  
  
Ho ho vengaboys!  
Say ho ho vengaboys!  
Ho ho vengaboys!  
Say ho ho vengaboys!  
Say what?  
Ho ho vengaboys!  
Say ho ho vengaboys!  
Ho ho vengaboys!  
Say ho ho vengaboys!  
Say what?  
Wow!

"
Justin Bieber,Sup,/j/justin+bieber/sup_21015192.html,"Verse 1:  
I'm in the club, shaking it up  
And I see your face  
I get a drink, hope it's luck Hope  
I'm not a disgrace  
A little word is all I gotta say  
So say it now, go on then  
Because he's getting away  
  
Bridge: I'm looking at you But is this right?  
Maybe I'm in for a treat  
Or a surprise Should  
I say it or not  
Oh my gosh  
  
Chorus:  
I just wanna say sup, sup, sup, sup  
You represent a dove, dove, dove, dove  
Say how you doing  
Let's get to it  
I just want to say sup, sup, sup, sup  
You represent a dove, dove, dove  
As nice as sugar  
You are my lover  
I just wanna say sup, sup, sup  
  
Verse 2:  
I talk to my friends  
He is cute  
Well go on then, talk to him  
But I'll probably mute  
Walk over  
I'm waiting This game  
When am I gonna start playing?  
  
[Bridge:]  
[Chorus:]  
Verse 3: Go say it now I'm waiting  
Just say sup now, I'm waiting  
Go say it now, go say it  
Go say sup now, yeah  
  
Chorus: I just wanna say alright, alright, alright, alright  
You wanna spend the night, night, night, night, night  
Say how you doing Let's get to it  
I just wanna say sup You represent a dove, dove, dove, dove, dove  
As nice as pie  
You make me high  
I just wanna say sup

"
Bob Dylan,He Was A Friend Of Mine,/b/bob+dylan/he+was+a+friend+of+mine_20021272.html,"He was a friend of mine  
He was a friend of mine  
Every time I think about him now  
Lord I just can't keep from cryin'  
'Cause he was a friend of mine  
  
He died on the road  
He died on the road  
He never had enough money  
To pay his room or board  
And he was a friend of mine  
  
I stole away and cried  
I stole away and cried  
'Cause I never had too much money  
And I never been quite satisfied  
And he was a friend of mine  
  
He never done no wrong  
He never done no wrong  
A thousand miles from home  
And he never harmed no one  
And he was a friend of mine  
  
He was a friend of mine  
He was a friend of mine  
Every time I hear his name  
Lord I just can't keep from cryin'  
'Cause he was a friend of mine.

"
Bob Marley,What's New Pussycat,/b/bob+marley/whats+new+pussycat_20813194.html,"What's new pussycat? Woah  
What's new pussycat? Woah  
What's new pussycat? Woah, woah  
  
Pussycat, pussycat, I've got flowers  
And lots of hours to spend with you  
So go and make up your cute little pussycat eyes  
Pussycat, pussycat, I love you, oh, yes sweet, I do  
  
What's new pussycat? Woah  
What's new pussycat? Woah  
What's new pussycat? Woah, woah  
  
Pussycat, pussycat, you're so thrilling  
And I'm so willing to care for you  
So go and powder your cute little pussycat nose  
Pussycat, pussycat, I love you, oh, yes sweet, I do  
  
What's new pussycat? Woah  
What's new pussycat? Woah  
What's new pussycat? Woah, woah  
  
What's new pussycat? Woah  
What's new pussycat? Woah  
What's new pussycat? Woah, woah  
  
Pussycat, pussycat, you're so thrilling  
And I'm so willing to care for you  
So go and powder your cute little pussycat eyes  
Pussycat, pussycat, I love you, oh, yes sweet, I do  
  
What's new pussycat? Woah  
What's new pussycat? Woah  
What's new pussycat? Woah, woah

"
Amy Grant,Christmas Can't Be Very Far Away,/a/amy+grant/christmas+cant+be+very+far+away_20007598.html,"Little bits of heaven  
Floating gently by the window  
Soon this dirty city will be  
Covered with a new snow  
  
Let's put on our winter boots  
Go outside and play  
Christmas can't be very far away  
  
Weather girl says ""bundle up""  
It's gonna be a cold one  
I'll put on my wooly hat  
You'll wear your dad's old Stetson  
  
Pretty lights are everywhere  
Shining night and day  
Christams can't be very far away  
  
Let's take a walk downtown and  
Go dream shopping in the mall  
The kids can do the Santa thing  
Photographs and all  
  
We'll get the biggest tree this year  
And trim it to the top  
And spend a whole lot more  
Than what we've got  
But so what  
  
Come next spring  
I know we will be  
Ready for the sunshine  
Right now throwin' snowballs  
At each other's such a fun time  
  
Kids will think we're crazy  
For awhile and that's okay  
Christmas can't be very far away  
Christmas can't be very far away

"
Journey,Forever In Blue,/j/journey/forever+in+blue_20075859.html,"When she walked into the room  
I felt her move me  
I saw her eyes  
They went right through me  
Just one look I was forever in blue  
  
In a spell of her embrace  
Just for a moment  
I was the one, caught in the moment  
I knew, yes, right then I knew  
  
Two hearts, reach for each other  
Once chance, she's like no other  
I'm lost, lost in the dream of you  
'Cause it's true oh  
I'm forever, forever in blue  
  
In a fantasy of my anticipation  
I knew there was no consolation  
I knew, oh I knew  
  
And on the night she told me that  
She had another  
I was broken by the truth  
I discovered, I knew oh I knew  
  
Two hearts, reach for each other  
Once chance, she's like no other  
I'm lost, lost in the dream of you  
'Cause it's true oh  
I'm forever, forever in blue... in blue  
  
Believe me girl, I tried not to call  
But here I am once again, yes once again  
Beside you, with my hands on the wall  
  
Two hearts, reach for each other  
Once chance, she's like no other  
I'm lost, lost in the dream of you  
Those two hearts, reach for each other  
Once chance, she's like no other  
I'm lost, lost in the dream of you  
'Cause it's true oh  
I'm forever, forever in blue

"
Selah,How Great Thou Art,/s/selah/how+great+thou+art_20792681.html,"O Lord my God, when I in awesome wonder  
Consider all the worlds thy hands hath made  
I see the stars, I hear the rolling thunder  
Thy power throughout the universe displayed  
  
Then sings my soul, my Savior God, to Thee  
How great Thou art, how great Thou art  
Then sings my soul, my Savior God, to Thee  
How great Thou art, how great Thou art!  
  
O Mfumu Nzambi bu mono yindula  
Bima yonso ya Nge me salaka  
Ba mbwetete ntangu ti ngonda songa  
Ngolo ya Nge mu nsi ya mvimba  
  
Buna mono zitisa Nge Nzambi  
Nge ikele nene mingi  
Buna mono zitisa Nge Nzambi  
Nge ikele nene mingi  
  
Then sings my soul, my Savior God, to Thee  
How great Thou art, how great Thou art  
Then sings my soul, my Savior God, to Thee  
How great Thou art, how great Thou art!

"
Barbra Streisand,Being Alive,/b/barbra+streisand/being+alive_20012614.html,"Someone to hold you too close  
Someone to hurt you too deep  
Someone to sit in your chair  
And ruin your sleep  
And make you aware of being alive  
  
Someone to need you too much  
Someone to know you too well  
Someone to pull you up short  
And put you through hell  
And give you support for being alive-being alive  
Make me alive, make me confused  
Mock me with praise, let me be used  
Vary my days, but alone is alone, not alive!  
  
Somebody hold me too close  
Somebody force me to care  
Somebody make me come through  
Ill always be there  
As frightened as you of being alive,  
Being alive, being alive!  
  
Someone you have to let in  
Someone whose feelings you spare  
Someone who, like it or not  
Will want you to share a little, a lot of being alive  
Make me alive, make me confused  
Mock me with praise, let me be used  
Vary my days, but alone is alone, not alive!  
  
Somebody crowd me with love  
Somebody force me to care  
Somebody make me come through  
Ill always be there  
As frightened as you to help us survive,  
Being alive, being alive, being alive, being alive

"
Europe,Lights And Shadows,/e/europe/lights+shadows_20051691.html,"One night she came, in from the cold  
Like a long lost friend, someone to hold  
She said, don't ask me now  
Cause what's in a name  
But when I'm gone you'll never be the same  
  
So won't you hold me now  
Can't you see what I came here for  
Save me now, cause I now  
We'll keep on headin' through  
Lights and shadows  
We're talkin' lights and shadows  
  
She came from far, with so much to tell  
Cause when you're lookin' for love  
You can walk through hell  
Just like a ricochet, she might come and go  
And one look can say more than you'll ever know  
  
So won't you hold me now...  
  
Oh lights and shadows  
We're talkin' lights and shadows  
  
So won't you hold me now...  
  
Oh lights and shadows...  
  
We keep on headin' through  
Lights and shadows  

"
Morrissey,Hairdresser On Fire,/m/morrissey/hairdresser+on+fire_20096125.html,"Here is London, giddy of London  
Is it home of the free  
Or what?  
  
Can you squeeze me  
Into an empty page of your diary  
And psychologically save me  
I've got faith in you  
I sense the power  
Within the fingers  
Within an hour the power  
Could totally destroy me  
(Or, it could save my life)  
  
Oh, here is London  
""Home of the brash, outrageous and free""  
You are repressed  
But you're remarkably dressed  
Is it real?  
And you're always busy  
  
Really busy  
Busy, busy  
Oh, hairdresser on fire  
All around Sloane Square  
And you're just so busy  
Busy, busy  
Busy scissors  
Oh, hairdresser on fire  
(Only the other day)  
  
Was a client, over-cautious  
He made you nervous  
And when he said  
""I'm gonna sue you""  
Oh, I really felt for you  
  
So can you squeeze me  
Into an empty page of your diary  
And supernaturally change me?  
Change me, change  
Oh, here in London  
""Home of the brash, outrageous and free""  
You are repressed  
But you're remarkably dressed  
Is it real?  
And you're always busy  
  
Really busy  
Busy clippers  
Oh, hairdresser on fire  
All around Sloane Square  
  
And you're just too busy  
To see me  
Busy clippers  
Oh, hairdresser on fire  
(Only the other day)

"
